!Series_title	"Amyotrophic lateral sclerosis"
!Series_geo_accession	"GSE833"
!Series_status	"Public on Nov 14 2003"
!Series_submission_date	"Nov 11 2003"
!Series_last_update_date	"Jul 08 2016"
!Series_pubmed_id	"14645737"
!Series_summary	"Identification of amyotrophic lateral sclerosis (ALS) associated genes. Post mortem spinal cord grey matter from sporadic and familial ALS patients compared with controls."
!Series_summary	"Keywords: other"
!Series_type	"Expression profiling by array"
!Series_contributor	"Fernando,,Dangond"
!Series_contributor	"Robert,H,Brown"
!Series_contributor	"Steven,R,Gullans"
!Series_sample_id	"GSM6826 GSM6827 GSM6828 GSM6829 GSM6830 GSM6831 GSM6832 GSM6833 GSM6834 GSM6835 GSM6836 "
!Series_contact_name	"Fernando,,Dangond"
!Series_contact_email	"fdangond@rics.bwh.harvard.edu"
!Series_contact_phone	"617-768-8597"
!Series_contact_department	" "
!Series_contact_institute	"Brigham and Women's Hospital Laboratories"
!Series_contact_address	" "
!Series_contact_city	"Cambridge"
!Series_contact_state	"MA"
!Series_contact_zip/postal_code	"02139"
!Series_contact_country	"USA"
!Series_platform_id	"GPL80"
!Series_platform_taxid	"9606"
!Series_sample_taxid	"9606"
!Series_relation	"BioProject: https://www.ncbi.nlm.nih.gov/bioproject/PRJNA87835"

!Sample_title	"Control gray matter 1"	"ALS gray matter 6 Sporadic"	"ALS gray matter 7 Sporadic"	"Control gray matter 2"	"Control gray matter 3"	"Control gray matter 4"	"ALS gray matter 1 Familial"	"ALS gray matter 2 Familial"	"ALS gray matter 3 Sporadic"	"ALS gray matter 4 Sporadic"	"ALS gray matter 5 Sporadic"
!Sample_geo_accession	"GSM6826"	"GSM6827"	"GSM6828"	"GSM6829"	"GSM6830"	"GSM6831"	"GSM6832"	"GSM6833"	"GSM6834"	"GSM6835"	"GSM6836"
!Sample_status	"Public on Nov 08 2003"	"Public on Nov 08 2003"	"Public on Nov 08 2003"	"Public on Nov 08 2003"	"Public on Nov 08 2003"	"Public on Nov 08 2003"	"Public on Nov 08 2003"	"Public on Nov 08 2003"	"Public on Nov 08 2003"	"Public on Nov 08 2003"	"Public on Nov 08 2003"
!Sample_submission_date	"Jun 11 2003"	"Jun 11 2003"	"Jun 11 2003"	"Jun 11 2003"	"Jun 11 2003"	"Jun 11 2003"	"Jun 11 2003"	"Jun 11 2003"	"Jun 11 2003"	"Jun 11 2003"	"Jun 11 2003"
!Sample_last_update_date	"May 28 2005"	"May 28 2005"	"May 28 2005"	"May 28 2005"	"May 28 2005"	"May 28 2005"	"May 28 2005"	"May 28 2005"	"May 28 2005"	"May 28 2005"	"May 28 2005"
!Sample_type	"RNA"	"RNA"	"RNA"	"RNA"	"RNA"	"RNA"	"RNA"	"RNA"	"RNA"	"RNA"	"RNA"
!Sample_channel_count	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"
!Sample_source_name_ch1	"spinal cord"	"spinal cord"	"spinal cord"	"spinal cord"	"spinal cord"	"spinal cord"	"spinal cord"	"spinal cord"	"spinal cord"	"spinal cord"	"spinal cord"
!Sample_organism_ch1	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"
!Sample_molecule_ch1	"total RNA"	"total RNA"	"total RNA"	"total RNA"	"total RNA"	"total RNA"	"total RNA"	"total RNA"	"total RNA"	"total RNA"	"total RNA"
!Sample_taxid_ch1	"9606"	"9606"	"9606"	"9606"	"9606"	"9606"	"9606"	"9606"	"9606"	"9606"	"9606"
!Sample_description	"RNA isolated from post-mortem tissues"	"RNA isolated from post-mortem tissues"	"RNA isolated from post-mortem tissues"	"RNA isolated from post-mortem tissues"	"RNA isolated from post-mortem tissues"	"RNA isolated from post-mortem tissues"	"RNA isolated from post-mortem tissues"	"RNA isolated from post-mortem tissues"	"RNA isolated from post-mortem tissues"	"RNA isolated from post-mortem tissues"	"RNA isolated from post-mortem tissues"
!Sample_platform_id	"GPL80"	"GPL80"	"GPL80"	"GPL80"	"GPL80"	"GPL80"	"GPL80"	"GPL80"	"GPL80"	"GPL80"	"GPL80"
!Sample_contact_name	"Fernando,,Dangond"	"Fernando,,Dangond"	"Fernando,,Dangond"	"Fernando,,Dangond"	"Fernando,,Dangond"	"Fernando,,Dangond"	"Fernando,,Dangond"	"Fernando,,Dangond"	"Fernando,,Dangond"	"Fernando,,Dangond"	"Fernando,,Dangond"
!Sample_contact_email	"fdangond@rics.bwh.harvard.edu"	"fdangond@rics.bwh.harvard.edu"	"fdangond@rics.bwh.harvard.edu"	"fdangond@rics.bwh.harvard.edu"	"fdangond@rics.bwh.harvard.edu"	"fdangond@rics.bwh.harvard.edu"	"fdangond@rics.bwh.harvard.edu"	"fdangond@rics.bwh.harvard.edu"	"fdangond@rics.bwh.harvard.edu"	"fdangond@rics.bwh.harvard.edu"	"fdangond@rics.bwh.harvard.edu"
!Sample_contact_phone	"617-768-8597"	"617-768-8597"	"617-768-8597"	"617-768-8597"	"617-768-8597"	"617-768-8597"	"617-768-8597"	"617-768-8597"	"617-768-8597"	"617-768-8597"	"617-768-8597"
!Sample_contact_department	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "
!Sample_contact_institute	"Brigham and Women's Hospital Laboratories"	"Brigham and Women's Hospital Laboratories"	"Brigham and Women's Hospital Laboratories"	"Brigham and Women's Hospital Laboratories"	"Brigham and Women's Hospital Laboratories"	"Brigham and Women's Hospital Laboratories"	"Brigham and Women's Hospital Laboratories"	"Brigham and Women's Hospital Laboratories"	"Brigham and Women's Hospital Laboratories"	"Brigham and Women's Hospital Laboratories"	"Brigham and Women's Hospital Laboratories"
!Sample_contact_address	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "
!Sample_contact_city	"Cambridge"	"Cambridge"	"Cambridge"	"Cambridge"	"Cambridge"	"Cambridge"	"Cambridge"	"Cambridge"	"Cambridge"	"Cambridge"	"Cambridge"
!Sample_contact_state	"MA"	"MA"	"MA"	"MA"	"MA"	"MA"	"MA"	"MA"	"MA"	"MA"	"MA"
!Sample_contact_zip/postal_code	"02139"	"02139"	"02139"	"02139"	"02139"	"02139"	"02139"	"02139"	"02139"	"02139"	"02139"
!Sample_contact_country	"USA"	"USA"	"USA"	"USA"	"USA"	"USA"	"USA"	"USA"	"USA"	"USA"	"USA"
!Sample_supplementary_file	"NONE"	"NONE"	"NONE"	"NONE"	"NONE"	"NONE"	"NONE"	"NONE"	"NONE"	"NONE"	"NONE"
!Sample_data_row_count	"7070"	"7070"	"7070"	"7070"	"7070"	"7070"	"7070"	"7070"	"7070"	"7070"	"7070"
!series_matrix_table_begin
"ID_REF"	"GSM6826"	"GSM6827"	"GSM6828"	"GSM6829"	"GSM6830"	"GSM6831"	"GSM6832"	"GSM6833"	"GSM6834"	"GSM6835"	"GSM6836"
"HG3748-HT4018_at"	20	20	20	20	20	20	172	20	20	224	20
"HG3790-HT4060_at"	20	20	20	20	20	20	20	20	349	20	42
"HG384-HT384_at"	28262	75558	27248	16998	56180	40846	51766	40932	54813	35488	28281
"HG3859-HT4129_at"	20	20	20	1278	20	111	20	175	132	0	20
"HG3872-HT4142_at"	683	1141	20	1826	20	20	20	20	20	20	5
"HG3884-HT4154_at"	728	20	20	20	20	20	1133	224	249	736	1963
"HG3893-HT4163_at"	561	20	1348	39	1880	145	89	20	657	650	1208
"HG3897-HT4167_at"	20	20	20	20	20	20	20	34	20	20	229
"HG3914-HT4184_s_at"	20	20	20	20	36	20	20	20	931	20	955
"HG3920-HT4521_s_at"	1961	181	1840	3711	678	2694	903	449	2151	1632	1638
"HG3921-HT4191_f_at"	20	20	1227	1857	20	1165	604	1920	106	163	1503
"HG3925-HT4195_at"	20	20	54	611	20	338	29	543	790	265	159
"HG3925-HT4195_s_at"	20	20	610	20	20	20	20	206	20	20	20
"HG3928-HT4198_at"	20	20	1214	20	20	20	1982	1528	3570	170	20
"HG3928-HT4198_s_at"	20	20	20	20	20	20	20	20	20	20	20
"HG3930-HT4200_at"	20	20	3008	20	1026	1308	195	20	20	20	277
"HG3934-HT4204_at"	1784	1673	2234	7456	378	20	1075	20	184	20	1939
"HG3936-HT4206_at"	1586	20	1377	1867	20	20	20	586	1407	20	20
"HG3942-HT4212_at"	20	20	20	20	20	20	20	20	20	20	20
"HG3945-HT4215_at"	1364	3749	5711	867	20	20	10633	11383	4371	20787	2539
"HG3954-HT4224_s_at"	877	20	203	54	733	2488	20	20	20	20	20
"HG3962-HT4232_at"	20	20	20	20	20	20	20	20	20	20	20
"HG3971-HT4241_at"	1693	3499	1258	2875	1612	919	488	673	1279	581	730
"HG3976-HT4246_at"	266	20	344	763	840	505	150	51	341	20	4
"HG3985-HT4255_at"	127	20	20	91	2885	267	20	20	452	222	20
"HG3987-HT4257_at"	3184	1632	20	5561	20	1527	1167	20	4279	20	1718
"HG3989-HT4259_at"	20	2292	20	20	726	20	156	20	246	20	405
"HG3991-HT4261_at"	20	20	20	20	13	20	97	20	698	20	20
"HG3991-HT4261_r_at"	7545	32826	25200	14724	14387	14717	6686	8655	12506	8172	7439
"HG3992-HT4262_at"	20	20	2125	20	20	20	20	20	20	20	20
"HG3993-HT4263_at"	20	20	20	20	20	20	20	452	20	20	20
"HG3994-HT4264_at"	1927	3964	4322	3799	3842	3853	1851	1391	2225	884	1763
"HG3995-HT4265_at"	2308	11968	6283	4640	837	3770	2106	571	1024	4399	5877
"HG3996-HT4266_at"	20	20	20	20	20	20	20	20	20	20	20
"HG3998-HT4268_at"	1571	651	2123	331	3177	3252	1009	1367	1376	267	665
"HG3999-HT4269_at"	20	20	20	20	20	20	20	20	20	20	20
"HG4011-HT4804_s_at"	1168	2638	20	20	1196	1235	1781	2471	1909	1008	1167
"HG4018-HT4288_at"	2043	5163	3077	2685	3674	2536	1535	1435	2669	1996	1555
"HG4020-HT4290_s_at"	7179	16485	7547	18000	11202	9497	3788	5659	6618	6227	10700
"HG4027-HT4297_f_at"	20	20	5	20	84	20	74	94	160	20	332
"HG4036-HT4306_at"	14657	3349	1164	56148	7863	1277	1505	3401	6447	2212	5692
"HG4051-HT4321_at"	20	20	20	20	20	20	122	20	20	336	20
"HG4052-HT4322_at"	594	20	20	20	20	20	20	20	20	20	20
"HG4058-HT4328_at"	73	2895	160	1378	791	20	541	514	1083	1105	237
"HG406-HT406_at"	1659	3651	1881	2807	6899	4924	857	2207	1913	1376	1581
"HG4063-HT4333_s_at"	287	394	50	925	564	258	20	368	498	170	421
"HG4068-HT4338_at"	563	20	1956	626	20	20	20	347	4511	907	2634
"HG4069-HT4339_s_at"	1765	5176	5588	3240	1862	2276	14615	5717	8148	9674	1186
"HG4073-HT4343_at"	2769	7472	2056	2477	3395	2889	3625	1432	2519	1253	2012
"HG4074-HT4344_at"	858	20	287	1020	20	20	337	68	545	20	381
"HG4094-HT4364_s_at"	251	182	792	20	20	790	35	747	217	277	404
"HG4099-HT4369_s_at"	20	20	20	20	20	20	20	3941	20	20	20
"HG4102-HT4372_at"	427	310	961	971	20	2555	461	77	761	356	295
"HG4108-HT4378_at"	473	20	1863	20	473	967	592	20	993	517	686
"HG4109-HT4379_at"	20	20	917	309	257	205	405	76	840	174	155
"HG4113-HT4383_s_at"	1006	20	1053	5232	1105	997	412	928	1405	728	1709
"HG4114-HT4384_at"	4684	5855	3643	6265	8733	3558	2273	2008	4179	1823	2878
"HG4115-HT4385_at"	20	3502	110	20	20	20	79	2167	1291	219	20
"HG4116-HT4386_s_at"	20	1708	20	159	968	948	20	339	20	20	80
"HG4120-HT4392_s_at"	313	20	394	20	20	222	514	20	20	270	20
"HG4126-HT4396_at"	780	1194	324	540	20	85	368	445	1290	228	366
"HG4128-HT4398_at"	20	20	20	20	20	20	20	20	785	20	356
"HG4144-HT4414_at"	20	20	20	20	20	20	20	20	20	20	20
"HG415-HT415_at"	1935	20	20	1029	147	20	429	3216	20	20	20
"HG4155-HT4425_s_at"	20	20	20	20	20	20	20	72	20	20	20
"HG4157-HT4427_at"	603	210	529	758	982	537	627	138	472	332	289
"HG4165-HT4435_at"	11	1658	20	20	20	20	133	20	311	34	379
"HG4167-HT4437_at"	1808	5080	3523	3069	2526	3404	743	1197	1692	555	1065
"HG4169-HT4439_s_at"	20	20	20	61	20	20	12	323	20	20	367
"HG417-HT417_s_at"	7619	17838	17949	2381	7260	6710	15630	27195	12397	29192	8259
"HG4178-HT4448_at"	871	5032	1549	20	3941	1382	628	20	1167	944	610
"HG4185-HT4455_at"	978	2620	486	1932	679	1214	64	264	20	229	20
"HG4188-HT4458_at"	20	20	20	20	20	20	20	20	20	20	20
"HG4194-HT4464_at"	425	20	20	20	20	162	20	996	20	77	747
"HG4234-HT4504_at"	20	2325	336	20	4309	46	753	448	1306	326	20
"HG4236-HT4506_f_at"	16	1055	487	20	505	20	102	20	415	415	370
"HG4243-HT4513_at"	2257	2920	900	7631	2479	2	691	2017	1892	348	3419
"HG4245-HT4515_at"	20	1708	20	20	5	20	42	20	210	20	20
"HG4258-HT4528_at"	783	20	20	2703	20	1182	20	20	1314	7	20
"HG4263-HT4533_at"	20	20	20	20	20	20	20	20	20	20	20
"HG4264-HT4534_s_at"	3790	4309	4330	2063	4454	2948	8123	5671	7484	9098	7052
"HG4272-HT4542_at"	3620	9113	3412	9474	4517	3715	1716	2523	2938	2082	4236
"HG429-HT429_at"	149	1439	195	202	20	548	20	84	69	20	20
"HG4297-HT4567_at"	784	20	1379	66	874	1404	2085	825	948	983	622
"HG4310-HT4580_at"	20	99	20	20	20	20	20	20	20	20	20
"HG4312-HT4582_s_at"	3406	1530	2977	2876	3376	3989	1530	3000	1792	2534	3827
"HG4316-HT4586_at"	20	20	20	20	20	20	20	20	20	20	20
"HG4318-HT4588_s_at"	1687	167	4247	20	2886	1640	676	349	1055	657	485
"HG4319-HT4589_at"	42010	55501	34940	30597	64928	44614	40805	44604	39455	40584	39316
"HG4321-HT4591_at"	20	20	139	20	704	748	20	152	864	20	20
"HG4322-HT4592_at"	15134	12867	13526	5387	25073	44206	10891	6785	8406	12393	5276
"HG4332-HT4602_at"	3972	8770	2946	9084	7267	6125	1593	4684	5608	2159	3404
"HG4333-HT4603_at"	1369	401	564	1865	20	1212	697	793	80	1234	212
"HG4334-HT4604_s_at"	563	20	708	20	761	20	2584	1006	171	2667	780
"HG4336-HT4606_at"	2653	718	1573	3160	2603	1587	683	912	1480	885	2149
"HG4340-HT4610_at"	20	20	20	20	20	20	20	20	20	20	20
"HG4390-HT4660_at"	20	20	438	273	843	437	432	20	527	43	428
"HG4411-HT4681_at"	20	20	20	20	20	20	20	20	20	20	20
"HG4417-HT4687_f_at"	197	20	20	1510	20	271	200	312	294	20	20
"HG4433-HT4703_at"	20	20	20	20	20	20	723	20	20	20	20
"HG4458-HT4727_at"	20	20	20	20	20	20	20	781	20	20	20
"HG4460-HT4729_at"	20	1955	678	289	20	20	495	797	514	354	545
"HG4462-HT4731_at"	34	20	20	139	20	395	20	20	20	95	20
"HG4480-HT4833_at"	20	20	20	20	20	95	20	20	20	20	20
"HG4490-HT4876_f_at"	1748	4506	2917	554	1901	2015	840	1759	1976	401	20
"HG4517-HT4920_s_at"	23	2114	20	20	20	685	90	20	215	132	20
"HG4518-HT4921_at"	20	20	20	20	20	20	20	149	20	20	20
"HG4518-HT4921_r_at"	539	1307	1190	325	994	20	110	649	20	332	551
"HG4533-HT4938_at"	1441	2885	1485	1992	3823	2041	700	1238	274	280	998
"HG4535-HT4940_s_at"	3779	13024	9453	3920	10319	10491	4072	3316	4575	5110	4201
"HG4541-HT4946_s_at"	4428	3243	3704	6069	7171	4892	3688	5135	2874	6798	3422
"HG4542-HT4947_at"	13475	20601	25749	4064	20734	18135	18110	17021	19292	13560	9560
"HG4557-HT4962_at"	164	20	13	1517	20	20	172	376	397	11	397
"HG4557-HT4962_r_at"	20	20	59	20	20	20	99	196	94	229	20
"HG458-HT458_f_at"	20	20	20	20	20	20	20	20	20	20	20
"HG4582-HT4987_at"	956	171	545	144	1014	1160	1742	681	1815	1106	1765
"HG4593-HT4998_at"	1874	3113	1050	2523	2160	3004	826	357	2319	2035	832
"HG4606-HT5011_at"	1480	4516	4561	1668	4834	3835	711	1626	3788	2027	1236
"HG4638-HT5050_at"	20	20	20	20	20	20	20	307	20	20	20
"HG4660-HT5073_at"	2624	12815	8317	3896	7182	15148	2592	4520	4886	1401	244
"HG4662-HT5075_at"	652	20	20	20	20	20	20	20	20	20	20
"HG4668-HT5083_s_at"	20	3523	639	963	795	20	86	1240	657	20	20
"HG4677-HT5102_s_at"	20	1320	20	871	782	20	273	20	158	341	800
"HG4679-HT5104_at"	242	20	368	20	20	678	75	20	473	131	20
"HG4683-HT5108_s_at"	118	20	294	263	20	20	681	495	397	471	881
"HG4704-HT5146_at"	1	20	20	1530	384	1441	549	20	139	20	20
"HG4716-HT5158_at"	20	1207	27	20	20	476	2656	1138	1614	446	20
"HG4724-HT5166_at"	5041	1766	6225	1000	3708	2978	250	20	1490	1640	742
"HG4740-HT5187_at"	20	20	34	20	20	20	127	20	20	20	20
"HG4747-HT5195_at"	20	20	20	20	20	20	20	20	20	20	20
"HG4749-HT5197_at"	20	2833	20	1342	2473	321	476	20	962	357	1101
"HG4755-HT5203_s_at"	429	20	20	679	20	285	20	241	20	20	305
"HG4757-HT5207_s_at"	975	509	555	2802	675	129	469	654	108	1338	331
"HG491-HT491_at"	20	20	20	20	20	20	92	2288	148	218	20
"HG511-HT511_at"	20	2317	1440	20	68	115	453	653	322	520	20
"HG537-HT537_at"	131	639	20	673	1961	20	451	20	3307	176	1235
"HG544-HT544_at"	20	20	20	20	20	20	825	20	20	20	20
"HG613-HT613_at"	34323	44366	15152	29201	67091	45025	35760	26948	25028	22123	24145
"HG620-HT620_at"	108	345	1237	394	572	732	622	355	1832	734	784
"HG627-HT5097_s_at"	1885	4094	3940	4504	3838	3265	1885	2010	539	2363	6191
"HG627-HT5098_s_at"	1961	1583	2324	446	1244	1653	896	1077	881	1476	2420
"HG64-HT64_at"	984	748	83	1853	20	20	154	6	931	240	20
"HG644-HT644_at"	20	283	20	298	1042	361	20	20	96	4	323
"HG651-HT4201_at"	4175	6476	7622	2633	8003	6450	5823	6639	4146	9129	5374
"HG651-HT5209_s_at"	20	20	723	20	20	20	559	733	439	20	20
"HG658-HT658_f_at"	20457	20433	17606	7562	18401	7476	21291	35980	24782	36764	11909
"HG662-HT662_at"	16327	9455	10404	16167	14293	10478	17535	12452	15629	11179	12394
"HG668-HT4793_at"	20	20	20	20	20	20	88	20	20	20	20
"HG67-HT67_f_at"	20	1128	20	20	20	20	20	20	20	20	20
"HG688-HT688_f_at"	6284	5293	9782	2809	1500	3943	5212	5149	4118	8983	3232
"HG721-HT4827_s_at"	167	908	1025	217	1894	1326	402	1192	161	459	487
"HG721-HT4828_s_at"	1248	2362	439	1218	1887	1388	426	335	20	28	529
"HG732-HT732_at"	763	1217	831	947	890	131	407	20	349	116	20
"HG742-HT742_at"	20	2652	20	20	2170	20	20	20	20	334	20
"HG759-HT759_s_at"	443	20	20	20	20	20	20	20	82	113	20
"HG821-HT821_at"	45229	35951	28419	49558	40855	29273	49959	34072	38894	31751	31076
"HG825-HT825_at"	20	20	20	20	20	20	20	20	20	20	20
"HG830-HT830_at"	4158	6930	1699	2239	6710	3378	1426	2360	2883	1857	2062
"HG831-HT831_at"	270	1580	447	932	1270	624	369	678	452	228	635
"HG846-HT846_at"	934	2297	1483	2516	1926	1286	433	1209	1122	658	986
"HG855-HT855_s_at"	156	20	385	20	20	117	48	20	20	22	328
"HG862-HT862_s_at"	20	524	20	20	20	20	136	20	20	20	20
"HG870-HT870_at"	644	20	12	20	1167	20	1148	660	636	217	476
"HG880-HT880_at"	589	9162	7515	1924	1379	20	1001	871	3473	20	368
"HG880-HT880_s_at"	20	20	20	20	20	20	20	20	20	20	20
"HG881-HT881_at"	1226	3132	1654	922	20	796	1037	1481	1712	1461	853
"HG884-HT884_s_at"	692	20	855	632	1038	1388	602	922	653	635	674
"HG896-HT896_at"	20	20	20	20	20	20	20	20	20	20	82
"HG907-HT907_at"	20	20	20	20	20	20	20	20	20	20	20
"HG908-HT908_at"	1332	4235	3976	2067	3469	3180	1801	1096	2720	1028	1001
"HG909-HT909_at"	1595	20	20	20	20	20	435	839	20	20	20
"HG919-HT919_at"	1564	1565	20	3123	20	20	20	771	646	334	50
"HG921-HT3995_at"	20	1220	20	20	20	125	20	128	543	237	20
"HG944-HT944_s_at"	20	20	20	20	20	20	20	20	20	20	20
"HG945-HT945_s_at"	326	257	675	223	20	747	232	409	189	128	382
"HG960-HT960_at"	2850	9715	3525	4245	4701	3485	1473	2022	2776	1299	4024
"HG961-HT961_at"	20	20	20	20	470	20	298	561	20	105	20
"HG982-HT982_s_at"	659	20	584	2293	504	2177	477	903	941	933	1260
"HG987-HT987_at"	9196	20297	16617	10766	29223	11058	61722	22893	25521	31190	23924
"HG998-HT998_s_at"	1453	1208	20	20	20	1262	511	1086	20	74	127
"J00073_at"	3214	4778	3627	9802	2472	1553	2665	3161	1126	1579	1423
"J00105_s_at"	15998	57833	50324	2955	40602	28458	27323	45081	29671	33143	12004
"J00116_s_at"	20	476	20	20	20	20	20	20	20	20	20
"J00117_f_at"	20	20	20	20	20	20	20	20	20	20	20
"J00123_at"	3354	5728	4742	20	2006	7122	4216	1968	1556	2389	327
"J00124_at"	1498	2767	1375	3453	2919	1488	963	882	535	1267	1541
"J00129_at"	1076	3345	965	505	20	908	308	622	1214	825	770
"J00139_s_at"	591	1409	846	357	20	272	20	20	20	353	20
"J00146_at"	481	28	764	16	79	575	152	450	434	520	656
"J00148_cds2_f_at"	20	20	20	20	20	20	20	20	20	20	20
"J00207_rna2_at"	13	20	20	1201	20	107	102	113	20	181	314
"J00209_f_at"	20	363	20	20	20	229	20	53	283	79	20
"J00210_rna1_at"	20	2061	20	240	20	20	117	20	20	20	1
"J00212_f_at"	1134	20	1459	1103	668	1373	165	410	915	829	450
"J00219_s_at"	31	20	20	20	20	41	20	183	20	164	20
"J00220_cds4_at"	20	20	20	64	1477	506	20	516	916	20	20
"J00220_cds5_at"	48	20	24	20	20	20	191	697	20	64	20
"J00268_s_at"	1174	20	20	2282	20	20	20	159	20	20	208
"J00277_at"	3750	20	1637	1823	285	3248	3896	2621	5634	4737	5576
"J00287_at"	20	20	20	20	20	20	525	20	20	20	20
"J00301_at"	20	593	20	229	198	650	20	20	121	20	20
"J00306_at"	5283	11059	6552	2739	3551	11006	8717	4682	7876	3383	2059
"J00314_at"	161	792	20	20	20	20	52	20	20	20	20
"J02611_at"	105321	148728	73883	39295	196029	81259	114403	67850	140923	79717	78222
"J02621_s_at"	1429	876	3022	2204	1673	1728	876	3172	616	1569	209
"J02645_at"	1616	3026	1266	466	918	1642	1873	1852	3740	1657	2891
"J02683_s_at"	1064	5480	5601	1567	3333	6465	4637	5075	3112	5414	1597
"J02758_s_at"	20	1971	741	20	20	20	68	202	910	149	20
"J02783_at"	3189	20	777	20	751	20	1880	2135	5816	2387	2515
"J02843_at"	431	1928	161	1000	946	427	544	127	20	20	20
"J02854_at"	544	20	20	2865	4900	215	1343	2082	243	861	1127
"J02871_s_at"	158	20	520	972	20	20	20	20	20	20	20
"J02874_at"	20	1799	20	368	20	20	76	323	20	20	20
"J02876_at"	20	20	20	20	767	20	20	20	20	20	20
"J02883_at"	538	2	346	1134	20	20	424	1636	467	655	670
"J02888_at"	1673	2911	3789	2410	2493	4260	2536	2163	1543	860	1930
"J02902_at"	5105	18298	13176	3574	15410	19251	9071	5705	10002	6721	4649
"J02906_at"	3995	4004	3206	8841	2566	2563	2221	3031	5617	2905	3935
"J02923_at"	20	769	1231	20	111	356	521	1817	20	206	20
"J02943_at"	219	4045	876	2068	1340	1718	572	902	1110	958	852
"J02947_s_at"	654	20	3255	1242	7254	3981	2301	3542	3172	4212	3088
"J02960_cds1_s_at"	20	382	1242	20	1408	212	318	388	920	188	777
"J02963_at"	195	2406	63	621	1154	1150	111	29	1065	603	459
"J02973_rna1_at"	20	20	20	20	20	20	20	20	355	20	20
"J02982_f_at"	1158	1304	586	2707	1347	188	362	774	479	634	972
"J02986_cds1_at"	1239	20	251	1763	1523	2168	192	936	636	579	0
"J03027_at"	432	1594	533	454	20	20	65	248	93	101	15
"J03040_at"	35733	51842	55362	9085	47779	42802	53466	47389	40648	42306	22831
"J03060_at"	1287	763	20	2318	20	228	268	553	167	200	572
"J03068_at"	270	20	1341	20	20	20	977	903	343	695	1106
"J03069_rna1_at"	11449	26731	14678	3077	11257	9137	4635	6592	6074	6192	8823
"J03071_cds3_f_at"	817	20	1474	767	1546	572	334	20	707	487	22
"J03077_s_at"	37950	77481	73104	22658	46073	39526	52581	59740	35600	50812	83417
"J03133_at"	616	2503	1144	1817	480	1508	501	20	494	829	817
"J03161_at"	4381	3666	2751	5835	3225	1061	3119	1948	3950	3037	2594
"J03171_at"	20	5196	30	467	1806	231	20	20	216	141	29
"J03191_at"	11319	23258	13079	8100	16524	10568	18613	18996	17857	14642	16198
"J03241_s_at"	1659	432	673	5849	1971	1636	501	1738	1646	2374	2608
"J03242_s_at"	1663	3188	1774	2717	4726	3382	1712	6453	2805	2939	2833
"J03258_at"	20	20	20	20	20	20	20	20	20	20	20
"J03260_s_at"	4739	3733	2691	5008	2584	4709	1929	1691	1128	1772	4868
"J03263_s_at"	1663	378	5548	732	2524	3116	1031	2162	1684	1600	267
"J03278_at"	2130	3044	2153	4278	4273	2532	1469	1652	1958	1974	1416
"J03459_at"	2581	4970	4747	1364	4404	3948	8202	9275	4341	5155	4526
"J03473_at"	5078	3202	3858	4506	4286	4424	7806	4911	5248	4421	5402
"J03474_at"	20	20	20	20	20	20	20	20	20	20	20
"J03507_at"	20	20	272	20	388	20	404	264	379	20	452
"J03589_at"	1747	20	330	1076	20	20	2218	1061	1005	1144	2189
"J03592_at"	14552	22983	15484	12877	23348	17303	21599	17900	17118	19817	18358
"J03600_at"	2743	3480	1572	5216	20	973	2073	2074	3945	2348	2824
"J03626_rna1_s_at"	335	95	20	653	20	20	50	183	20	178	37
"J03634_at"	20	20	447	962	20	20	66	20	501	20	424
"J03756_at"	3661	7454	3062	9200	7258	4958	2411	2770	3971	2665	3879
"J03764_at"	1611	1914	2159	1236	555	815	1171	613	1342	986	959
"J03778_s_at"	20	20	723	20	552	1332	211	167	1000	289	20
"J03779_at"	2537	7460	9452	4787	9549	3665	3993	6366	6312	5413	5231
"J03798_at"	386	2247	330	979	20	1228	500	334	1467	346	137
"J03801_f_at"	12824	1850	5674	88541	5598	1835	2487	10142	1860	2284	968
"J03805_s_at"	10918	7794	15155	7751	15175	14009	11482	9807	9336	15655	13227
"J03810_at"	69	2482	363	902	1617	711	92	57	20	189	192
"J03824_at"	1793	20	1517	607	1833	1250	1309	514	613	152	926
"J03827_at"	5141	11524	9444	1818	10931	8197	21939	14902	21060	10318	5942
"J03890_rna1_at"	20	20	20	20	20	580	2060	20	294	272	1246
"J03909_at"	902	3574	1936	20	839	20	9134	23710	4522	3691	1102
"J03910_rna1_at"	552	20	20	20	20	20	502	20	621	630	487
"J03915_s_at"	20	9064	5701	2746	7118	8733	1294	1510	3898	3078	2121
"J03925_at"	20	2314	283	113	694	214	682	1149	516	262	155
"J03930_at"	2942	6098	3337	4034	6986	4699	1521	2269	2319	1455	1806
"J03934_s_at"	726	20	1004	1060	569	85	265	833	616	1084	1516
"J04027_at"	681	20	309	20	58	633	237	256	738	190	20
"J04029_s_at"	1134	20	827	20	20	707	698	1818	20	909	1216
"J04031_at"	2718	20	533	3895	20	20	2167	1377	20	538	752
